Date,BITSTAMP,COINBASE,ITBIT,KRAKEN,avg_btc_price_usd,price_usd
9/13/2011,5.929230648,,,,5.929230648,5.929230648
9/14/2011,5.590797514,,,,5.590797514,5.590797514
9/15/2011,5.094271914,,,,5.094271914,5.094271914
9/16/2011,4.854515047,,,,4.854515047,4.854515047
9/17/2011,4.87,,,,4.87,4.87
9/18/2011,4.839575594,,,,4.839575594,4.839575594
9/19/2011,4.9,,,,4.9,4.9
9/20/2011,5.388053693,,,,5.388053693,5.388053693
9/21/2011,5.706074879,,,,5.706074879,5.706074879
9/22/2011,5.696960456,,,,5.696960456,5.696960456
9/23/2011,5.707098875,,,,5.707098875,5.707098875
9/24/2011,5.722494019,,,,5.722494019,5.722494019
9/25/2011,6.05,,,,6.05,6.05
9/26/2011,5.983073481,,,,5.983073481,5.983073481
9/27/2011,4.895401671,,,,4.895401671,4.895401671
9/28/2011,4.862497703,,,,4.862497703,4.862497703
9/29/2011,4.816344814,,,,4.816344814,4.816344814
9/30/2011,,,,,,
10/1/2011,,,,,,
10/2/2011,,,,,,
10/3/2011,4.847771909,,,,4.847771909,4.847771909
10/4/2011,4.924736813,,,,4.924736813,4.924736813
10/5/2011,5.029418748,,,,5.029418748,5.029418748
10/6/2011,4.908846107,,,,4.908846107,4.908846107
10/7/2011,4.68762891,,,,4.68762891,4.68762891
10/8/2011,4.455535714,,,,4.455535714,4.455535714
10/9/2011,3.89,,,,3.89,3.89
10/10/2011,4.498301898,,,,4.498301898,4.498301898
10/11/2011,3.998964524,,,,3.998964524,3.998964524
10/12/2011,3.943964112,,,,3.943964112,3.943964112
10/13/2011,3.952922793,,,,3.952922793,3.952922793
10/14/2011,4.05,,,,4.05,4.05
10/15/2011,,,,,,
10/16/2011,,,,,,
10/17/2011,3.92,,,,3.92,3.92
10/18/2011,,,,,,
10/19/2011,,,,,,
10/20/2011,2.247550215,,,,2.247550215,2.247550215
10/21/2011,2.240359906,,,,2.240359906,2.240359906
10/22/2011,,,,,,
10/23/2011,,,,,,
10/24/2011,2.929880694,,,,2.929880694,2.929880694
10/25/2011,2.691469107,,,,2.691469107,2.691469107
10/26/2011,2.68341564,,,,2.68341564,2.68341564
10/27/2011,,,,,,
10/28/2011,3.762354535,,,,3.762354535,3.762354535
10/29/2011,3.871268353,,,,3.871268353,3.871268353
10/30/2011,3.670573267,,,,3.670573267,3.670573267
10/31/2011,3.288605057,,,,3.288605057,3.288605057
11/1/2011,3.322460876,,,,3.322460876,3.322460876
11/2/2011,,,,,,
11/3/2011,,,,,,
11/4/2011,3.327357776,,,,3.327357776,3.327357776
11/5/2011,3.131411817,,,,3.131411817,3.131411817
11/6/2011,2.95,,,,2.95,2.95
11/7/2011,,,,,,
11/8/2011,3.08,,,,3.08,3.08
11/9/2011,3.199418941,,,,3.199418941,3.199418941
11/10/2011,3.18938966,,,,3.18938966,3.18938966
11/11/2011,3.3,,,,3.3,3.3
11/12/2011,3.35,,,,3.35,3.35
11/13/2011,3.35,,,,3.35,3.35
11/14/2011,2.758309706,,,,2.758309706,2.758309706
11/15/2011,2.634682921,,,,2.634682921,2.634682921
11/16/2011,2.980807122,,,,2.980807122,2.980807122
11/17/2011,2.782608788,,,,2.782608788,2.782608788
11/18/2011,2.536069652,,,,2.536069652,2.536069652
11/19/2011,2.446127803,,,,2.446127803,2.446127803
11/20/2011,2.37,,,,2.37,2.37
11/21/2011,2.435297738,,,,2.435297738,2.435297738
11/22/2011,2.469267943,,,,2.469267943,2.469267943
11/23/2011,,,,,,
11/24/2011,2.870896695,,,,2.870896695,2.870896695
11/25/2011,3.153054233,,,,3.153054233,3.153054233
11/26/2011,2.77,,,,2.77,2.77
11/27/2011,,,,,,
11/28/2011,2.699216586,,,,2.699216586,2.699216586
11/29/2011,2.773823271,,,,2.773823271,2.773823271
11/30/2011,3.19,,,,3.19,3.19
12/1/2011,3.446789837,,,,3.446789837,3.446789837
12/2/2011,3.147074362,,,,3.147074362,3.147074362
12/3/2011,2.93,,,,2.93,2.93
12/4/2011,,,,,,
12/5/2011,2.951711394,,,,2.951711394,2.951711394
12/6/2011,3.052751216,,,,3.052751216,3.052751216
12/7/2011,3.199352673,,,,3.199352673,3.199352673
12/8/2011,3.167746684,,,,3.167746684,3.167746684
12/9/2011,,,,,,
12/10/2011,3.118595777,,,,3.118595777,3.118595777
12/11/2011,3.277610015,,,,3.277610015,3.277610015
12/12/2011,3.508852287,,,,3.508852287,3.508852287
12/13/2011,3.450160006,,,,3.450160006,3.450160006
12/14/2011,3.441700163,,,,3.441700163,3.441700163
12/15/2011,3.435400327,,,,3.435400327,3.435400327
12/16/2011,3.440601394,,,,3.440601394,3.440601394
12/17/2011,,,,,,
12/18/2011,3.397928749,,,,3.397928749,3.397928749
12/19/2011,3.809668118,,,,3.809668118,3.809668118
12/20/2011,4.570030346,,,,4.570030346,4.570030346
12/21/2011,4.38,,,,4.38,4.38
12/22/2011,4.183818845,,,,4.183818845,4.183818845
12/23/2011,4.186257016,,,,4.186257016,4.186257016
12/24/2011,4.33,,,,4.33,4.33
12/25/2011,4.303975965,,,,4.303975965,4.303975965
12/26/2011,4.296000786,,,,4.296000786,4.296000786
12/27/2011,4.31066493,,,,4.31066493,4.31066493
12/28/2011,4.267895876,,,,4.267895876,4.267895876
12/29/2011,4.348321121,,,,4.348321121,4.348321121
12/30/2011,4.232347531,,,,4.232347531,4.232347531
12/31/2011,4.462125532,,,,4.462125532,4.462125532
1/1/2012,4.896729932,,,,4.896729932,4.896729932
1/2/2012,5,,,,5,5
1/3/2012,5.279640678,,,,5.279640678,5.279640678
1/4/2012,5.297574617,,,,5.297574617,5.297574617
1/5/2012,6.199614198,,,,6.199614198,6.199614198
1/6/2012,6.575772057,,,,6.575772057,6.575772057
1/7/2012,6.8,,,,6.8,6.8
1/8/2012,6.92,,,,6.92,6.92
1/9/2012,6.625530221,,,,6.625530221,6.625530221
1/10/2012,6.633556203,,,,6.633556203,6.633556203
1/11/2012,7.052193742,,,,7.052193742,7.052193742
1/12/2012,7.266704413,,,,7.266704413,7.266704413
1/13/2012,7.043829578,,,,7.043829578,7.043829578
1/14/2012,6.443739606,,,,6.443739606,6.443739606
1/15/2012,7.15,,,,7.15,7.15
1/16/2012,6.8580893,,,,6.8580893,6.8580893
1/17/2012,6.128198053,,,,6.128198053,6.128198053
1/18/2012,6.151760792,,,,6.151760792,6.151760792
1/19/2012,6.251002604,,,,6.251002604,6.251002604
1/20/2012,6.753926371,,,,6.753926371,6.753926371
1/21/2012,6.292081236,,,,6.292081236,6.292081236
1/22/2012,6.16956114,,,,6.16956114,6.16956114
1/23/2012,6.410448954,,,,6.410448954,6.410448954
1/24/2012,6.444235008,,,,6.444235008,6.444235008
1/25/2012,6.237314568,,,,6.237314568,6.237314568
1/26/2012,6.147317517,,,,6.147317517,6.147317517
1/27/2012,5.73890012,,,,5.73890012,5.73890012
1/28/2012,4.91,,,,4.91,4.91
1/29/2012,5.522085376,,,,5.522085376,5.522085376
1/30/2012,5.535672823,,,,5.535672823,5.535672823
1/31/2012,5.783341659,,,,5.783341659,5.783341659
2/1/2012,5.904622589,,,,5.904622589,5.904622589
2/2/2012,6.142813509,,,,6.142813509,6.142813509
2/3/2012,6.112084046,,,,6.112084046,6.112084046
2/4/2012,6.030458825,,,,6.030458825,6.030458825
2/5/2012,5.859222787,,,,5.859222787,5.859222787
2/6/2012,5.546877875,,,,5.546877875,5.546877875
2/7/2012,5.665683221,,,,5.665683221,5.665683221
2/8/2012,5.711624891,,,,5.711624891,5.711624891
2/9/2012,5.776213046,,,,5.776213046,5.776213046
2/10/2012,5.879343348,,,,5.879343348,5.879343348
2/11/2012,5.520054633,,,,5.520054633,5.520054633
2/12/2012,5.725974828,,,,5.725974828,5.725974828
2/13/2012,5.725456933,,,,5.725456933,5.725456933
2/14/2012,5.162083348,,,,5.162083348,5.162083348
2/15/2012,4.95222043,,,,4.95222043,4.95222043
2/16/2012,4.628344213,,,,4.628344213,4.628344213
2/17/2012,4.705286748,,,,4.705286748,4.705286748
2/18/2012,4.407721816,,,,4.407721816,4.407721816
2/19/2012,4.328827575,,,,4.328827575,4.328827575
2/20/2012,4.557542961,,,,4.557542961,4.557542961
2/21/2012,4.450161155,,,,4.450161155,4.450161155
2/22/2012,4.532766303,,,,4.532766303,4.532766303
2/23/2012,4.918766921,,,,4.918766921,4.918766921
2/24/2012,5.147933252,,,,5.147933252,5.147933252
2/25/2012,5.012461604,,,,5.012461604,5.012461604
2/26/2012,4.924205379,,,,4.924205379,4.924205379
2/27/2012,5.057577655,,,,5.057577655,5.057577655
2/28/2012,5.02354974,,,,5.02354974,5.02354974
2/29/2012,4.945015382,,,,4.945015382,4.945015382
3/1/2012,4.99731872,,,,4.99731872,4.99731872
3/2/2012,4.742708081,,,,4.742708081,4.742708081
3/3/2012,4.684421413,,,,4.684421413,4.684421413
3/4/2012,4.795982103,,,,4.795982103,4.795982103
3/5/2012,4.960717738,,,,4.960717738,4.960717738
3/6/2012,4.994590011,,,,4.994590011,4.994590011
3/7/2012,5.07346069,,,,5.07346069,5.07346069
3/8/2012,4.961106982,,,,4.961106982,4.961106982
3/9/2012,5.027924743,,,,5.027924743,5.027924743
3/10/2012,4.857439641,,,,4.857439641,4.857439641
3/11/2012,4.901338941,,,,4.901338941,4.901338941
3/12/2012,4.955224244,,,,4.955224244,4.955224244
3/13/2012,5.057664061,,,,5.057664061,5.057664061
3/14/2012,5.353176438,,,,5.353176438,5.353176438
3/15/2012,5.360376705,,,,5.360376705,5.360376705
3/16/2012,5.357021906,,,,5.357021906,5.357021906
3/17/2012,5.391692355,,,,5.391692355,5.391692355
3/18/2012,5.336614146,,,,5.336614146,5.336614146
3/19/2012,5.074783906,,,,5.074783906,5.074783906
3/20/2012,4.890742035,,,,4.890742035,4.890742035
3/21/2012,4.934808731,,,,4.934808731,4.934808731
3/22/2012,4.872049026,,,,4.872049026,4.872049026
3/23/2012,4.62908467,,,,4.62908467,4.62908467
3/24/2012,4.804406753,,,,4.804406753,4.804406753
3/25/2012,4.582199918,,,,4.582199918,4.582199918
3/26/2012,4.565750635,,,,4.565750635,4.565750635
3/27/2012,4.787344198,,,,4.787344198,4.787344198
3/28/2012,4.855471741,,,,4.855471741,4.855471741
3/29/2012,4.844451899,,,,4.844451899,4.844451899
3/30/2012,4.857231134,,,,4.857231134,4.857231134
3/31/2012,4.910169411,,,,4.910169411,4.910169411
4/1/2012,4.793125549,,,,4.793125549,4.793125549
4/2/2012,4.92604845,,,,4.92604845,4.92604845
4/3/2012,4.970737857,,,,4.970737857,4.970737857
4/4/2012,4.915193975,,,,4.915193975,4.915193975
4/5/2012,4.965023517,,,,4.965023517,4.965023517
4/6/2012,4.881617964,,,,4.881617964,4.881617964
4/7/2012,4.791594609,,,,4.791594609,4.791594609
4/8/2012,4.751308199,,,,4.751308199,4.751308199
4/9/2012,4.773733426,,,,4.773733426,4.773733426
4/10/2012,4.814052982,,,,4.814052982,4.814052982
4/11/2012,4.870963667,,,,4.870963667,4.870963667
4/12/2012,4.846710661,,,,4.846710661,4.846710661
4/13/2012,4.894767466,,,,4.894767466,4.894767466
4/14/2012,4.971651592,,,,4.971651592,4.971651592
4/15/2012,4.956882095,,,,4.956882095,4.956882095
4/16/2012,4.957136721,,,,4.957136721,4.957136721
4/17/2012,4.981611076,,,,4.981611076,4.981611076
4/18/2012,5.101675774,,,,5.101675774,5.101675774
4/19/2012,5.114057551,,,,5.114057551,5.114057551
4/20/2012,5.16852483,,,,5.16852483,5.16852483
4/21/2012,5.257035004,,,,5.257035004,5.257035004
4/22/2012,5.21099099,,,,5.21099099,5.21099099
4/23/2012,5.144193354,,,,5.144193354,5.144193354
4/24/2012,5.08418891,,,,5.08418891,5.08418891
4/25/2012,5.014640183,,,,5.014640183,5.014640183
4/26/2012,5.021984812,,,,5.021984812,5.021984812
4/27/2012,5.011118942,,,,5.011118942,5.011118942
4/28/2012,4.959823845,,,,4.959823845,4.959823845
4/29/2012,4.88020974,,,,4.88020974,4.88020974
4/30/2012,4.946262214,,,,4.946262214,4.946262214
5/1/2012,4.974239214,,,,4.974239214,4.974239214
5/2/2012,5.074760564,,,,5.074760564,5.074760564
5/3/2012,5.105871496,,,,5.105871496,5.105871496
5/4/2012,5.114957826,,,,5.114957826,5.114957826
5/5/2012,5.06578518,,,,5.06578518,5.06578518
