date,close,high,low,open,quoteVolume,volume,weightedAverage,price_usd
2015-02-09,8.599999999999999e-07,9.5e-07,8.4e-07,9.5e-07,11729.23595506,0.010218670000000001,8.699999999999999e-07,0.00019082865206908998
2015-02-10,8.1e-07,9e-07,8.1e-07,8.499999999999999e-07,515534.23068181,0.42763389,8.199999999999999e-07,0.00017843486435183996
2015-02-11,8e-07,9.4e-07,7.9e-07,8.199999999999999e-07,716470.02720024,0.6184708,8.599999999999999e-07,0.00018800690132416664
2015-02-12,8.1e-07,8.499999999999999e-07,7.799999999999999e-07,8e-07,150248.35173423,0.12390293000000001,8.199999999999999e-07,0.00018196094290018667
2015-02-13,7.9e-07,8.1e-07,7e-07,7.9e-07,200893.82197707,0.15440275,7.599999999999999e-07,0.00017742797147630662
2015-02-14,7.5e-07,7.9e-07,7e-07,7.5e-07,337967.13521327,0.25002222,7.3e-07,0.00017969597138478666
2015-02-15,5.3e-07,7.599999999999999e-07,5.3e-07,7.2e-07,362456.19920713,0.24528204,6.699999999999999e-07,0.0001633591916784633
2015-02-16,6.3e-07,8e-07,5.1e-07,5.8e-07,617384.08397699,0.38651012,6.2e-07,0.00014703816865273332
2015-02-17,4.9e-07,6e-07,4.8e-07,5.8e-07,442529.21413512,0.2428612,5.4e-07,0.0001288995216975
2015-02-18,4.8e-07,5.3e-07,4.2e-07,5e-07,377046.67524004,0.18605316,4.9e-07,0.00011583411449437334
2015-02-19,4.5999999999999994e-07,5e-07,4.2e-07,4.8e-07,472148.07124339,0.22141774,4.5999999999999994e-07,0.00011039057870273999
2015-02-20,4.2999999999999996e-07,4.8e-07,4.2999999999999996e-07,4.5999999999999994e-07,436107.27246507,0.19777235,4.5e-07,0.0001098777401727
2015-02-21,4.5999999999999994e-07,4.8e-07,4.0999999999999994e-07,4.2999999999999996e-07,350457.21427055,0.15757289,4.4e-07,0.00010732065554701336
2015-02-22,6.599999999999999e-07,6.599999999999999e-07,4.4e-07,4.4e-07,772989.24315904,0.38691338000000003,5e-07,0.00011966988318799998
2015-02-23,6.699999999999999e-07,8e-07,4.7e-07,6.1e-07,1305095.9655666,0.74844301,5.699999999999999e-07,0.00013468448925764998
2015-02-24,6.1e-07,6.8e-07,5.8e-07,6.699999999999999e-07,334827.54833238,0.20740557,6.1e-07,0.00014556165769207666
