date,close,high,low,open,quoteVolume,volume,weightedAverage,price_usd
2015-01-02,6.216e-05,6.998e-05,5.665000000000001e-05,5.6750000000000004e-05,306142.9531438,18.73942402,6.121e-05,0.01932920879431125
2015-01-03,6.473e-05,6.998e-05,6.000000000000001e-05,6.288000000000001e-05,199682.63454924,13.05378798,6.537e-05,0.01970986775614858
2015-01-04,6.161e-05,6.401e-05,5.999e-05,6.35e-05,655539.73867269,39.5902426,6.039e-05,0.016710278559531812
2015-01-05,6.203000000000001e-05,6.58e-05,6.102000000000001e-05,6.163e-05,68241.99661033,4.2896753499999996,6.285000000000001e-05,0.017041117228088952
2015-01-06,6.199000000000001e-05,6.464e-05,5.556e-05,6.198000000000001e-05,1038607.2118636,61.69543008,5.940000000000001e-05,0.016290833710100403
2015-01-07,6.067000000000001e-05,6.444e-05,5.889000000000001e-05,6.425e-05,362770.82637648,21.84726682,6.022000000000001e-05,0.01767764404949692
2015-01-08,5.879e-05,6.176e-05,5.287e-05,6.173000000000001e-05,939352.11781979,54.81013131,5.834e-05,0.01693983594613377
2015-01-09,5.9420000000000004e-05,6.09e-05,5.729000000000001e-05,5.729000000000001e-05,161121.89095445,9.496646,5.894000000000001e-05,0.017196976041311828
2015-01-10,5.9550000000000004e-05,6.108e-05,5.792e-05,6.038000000000001e-05,163366.13862833,9.65051997,5.907e-05,0.016687479463244042
2015-01-11,5.922e-05,6.06e-05,5.8110000000000004e-05,5.9550000000000004e-05,113267.7897524,6.68017441,5.8970000000000006e-05,0.015996108957323986
2015-01-12,5.6120000000000005e-05,5.9550000000000004e-05,5.5620000000000006e-05,5.915000000000001e-05,73908.93724455,4.23806647,5.734e-05,0.01576882202916179
2015-01-13,5.7440000000000006e-05,6.005e-05,5.3e-05,5.8330000000000006e-05,154688.59661271,8.6968538,5.622e-05,0.013313504884469581
2015-01-14,6.102000000000001e-05,6.199000000000001e-05,5.708000000000001e-05,5.7990000000000006e-05,340764.61096174,20.09678448,5.8970000000000006e-05,0.011538562113488917
2015-01-15,6.16e-05,6.568000000000001e-05,5.900000000000001e-05,5.907e-05,205474.82385353,12.55961432,6.112000000000001e-05,0.012734278503077762
2015-01-16,6.035e-05,6.229e-05,5.852000000000001e-05,6.16e-05,265296.44707052,15.77451955,5.945000000000001e-05,0.012507098650402518
2015-01-17,6.05e-05,6.05e-05,5.821e-05,6.034e-05,207966.12879296,12.41833169,5.971e-05,0.011968499525037325
2015-01-18,6.02e-05,6.080000000000001e-05,5.823000000000001e-05,6.049000000000001e-05,98604.82554078,5.89943759,5.982000000000001e-05,0.01254945055075804
2015-01-19,5.906e-05,6.0620000000000006e-05,5.906e-05,6.0190000000000005e-05,101616.79413431,6.09429752,5.9970000000000004e-05,0.012685056857120802
2015-01-20,6.09e-05,6.09e-05,5.907e-05,5.921000000000001e-05,106423.83702301,6.41070273,6.0230000000000004e-05,0.012845007784453443
2015-01-21,6.108e-05,6.2e-05,6.018e-05,6.088000000000001e-05,131621.75610051,8.03894763,6.107000000000001e-05,0.013231606692079652
2015-01-22,6.05e-05,6.3e-05,5.929000000000001e-05,6.194e-05,79276.29667276,4.83812441,6.102000000000001e-05,0.014314994978478482
2015-01-23,6.101000000000001e-05,6.112000000000001e-05,5.978e-05,6.000000000000001e-05,45802.81345453,2.77232236,6.052e-05,0.014015668226161722
2015-01-24,6.000000000000001e-05,6.163e-05,5.980000000000001e-05,6.0830000000000005e-05,176524.52654733,10.63436936,6.0240000000000006e-05,0.0145423323313092
2015-01-25,5.89e-05,6.108e-05,5.8e-05,6.000000000000001e-05,246885.54326002,14.7489496,5.974000000000001e-05,0.014928304009800577
2015-01-26,5.2000000000000004e-05,5.8530000000000004e-05,4.999e-05,5.8530000000000004e-05,2353319.6028601,120.68396921,5.1280000000000004e-05,0.014489392432588828
2015-01-27,5.2520000000000005e-05,5.7e-05,4.012e-05,5.2000000000000004e-05,5028344.3877222,239.00375168,4.753000000000001e-05,0.01197757779450321
2015-01-28,5.398e-05,5.687000000000001e-05,5.054000000000001e-05,5.253000000000001e-05,436037.17041361,23.85455341,5.47e-05,0.014143608267333267
2015-01-29,5.327e-05,5.537000000000001e-05,4.89e-05,5.343e-05,238423.18519987,12.70303562,5.327e-05,0.01243515637885178
2015-01-30,5.291000000000001e-05,5.493000000000001e-05,5.1e-05,5.274000000000001e-05,211818.77196606,11.19288345,5.284e-05,0.012204843265289908
2015-01-31,5.293e-05,5.516000000000001e-05,5.2100000000000006e-05,5.352000000000001e-05,192667.26598994,10.27543896,5.3330000000000006e-05,0.012187978650744285
2015-02-01,5.228e-05,5.4050000000000006e-05,5.024000000000001e-05,5.232000000000001e-05,139755.18733651,7.33114319,5.245000000000001e-05,0.011580724467627885
2015-02-02,5.1340000000000007e-05,5.3280000000000005e-05,5.1340000000000007e-05,5.228e-05,113083.39354388,5.87154162,5.1920000000000004e-05,0.01186350907764792
2015-02-03,5.05e-05,5.185e-05,5e-05,5.1340000000000007e-05,919579.49077747,46.0357143,5.0060000000000005e-05,0.011852507534620613
2015-02-04,5.0900000000000004e-05,5.241e-05,4.958e-05,5.004e-05,350788.75771813,17.89825553,5.102000000000001e-05,0.011540403946348718
2015-02-05,5.025000000000001e-05,5.2560000000000005e-05,5.0220000000000004e-05,5.094000000000001e-05,146438.83138015,7.45588895,5.0910000000000006e-05,0.011167831727443029
2015-02-06,4.9040000000000005e-05,5.098e-05,4.902000000000001e-05,5.025000000000001e-05,282430.93585367,14.09733995,4.991e-05,0.010948512347793768
2015-02-07,5.199e-05,5.2000000000000004e-05,4.92e-05,4.928e-05,73462.85339699,3.70845039,5.0480000000000005e-05,0.011322159930933575
2015-02-08,5.1380000000000006e-05,5.25e-05,4.9500000000000004e-05,5.199e-05,309113.02974975,15.6323033,5.0570000000000005e-05,0.01129337817556975
2015-02-09,5.089000000000001e-05,5.249e-05,4.910000000000001e-05,5.003000000000001e-05,63635.70562967,3.21713544,5.055e-05,0.011087802715048849
2015-02-10,4.804000000000001e-05,5.212e-05,4.758e-05,4.949e-05,302856.4980586,15.00220531,4.953000000000001e-05,0.010777901013837361
2015-02-11,5.198000000000001e-05,5.198000000000001e-05,4.7560000000000005e-05,4.804000000000001e-05,83577.50340636,4.1806426,5.002e-05,0.010935006051435832
