date,close,high,low,open,quoteVolume,volume,weightedAverage,price_usd
2015-08-25,2.4e-07,6.900000000000001e-05,1.5e-07,5e-07,179625596.00242,38.4403385,2.1e-07,4.51050852134925e-05
2015-08-26,1.8e-07,3.2999999999999996e-07,1.3999999999999998e-07,2.5e-07,520146969.79045,113.26914675,2.1e-07,4.78563175671e-05
2015-08-27,1.8999999999999998e-07,2.4e-07,1.7000000000000001e-07,1.8e-07,207327785.4971,42.73396539,2e-07,4.53806253114e-05
2015-08-28,1.7000000000000001e-07,2.1e-07,1.5e-07,1.8999999999999998e-07,154044761.21679,26.6433255,1.7000000000000001e-07,3.90627845857875e-05
2015-08-29,1.5e-07,1.8e-07,1.5e-07,1.7000000000000001e-07,53998691.51871,8.81204556,1.6e-07,3.692981103952e-05
2015-08-30,1.3999999999999998e-07,1.7000000000000001e-07,1.2e-07,1.6e-07,190078591.16692,25.76989954,1.3e-07,2.9761756476042504e-05
2015-08-31,1.3e-07,1.5e-07,1.2e-07,1.3e-07,74987567.671298,9.77483534,1.3e-07,2.9810778317319998e-05
2015-09-01,1.3e-07,1.3999999999999998e-07,1.3e-07,1.3999999999999998e-07,47057694.240297,6.29535838,1.3e-07,2.9696472274787503e-05
2015-09-02,1.2e-07,1.3999999999999998e-07,1.2e-07,1.2e-07,69904740.479249,8.74499338,1.2e-07,2.7452986008419997e-05
2015-09-03,1.1e-07,1.2e-07,1e-07,1.2e-07,124072825.84586,13.11807135,1e-07,2.2798436123525e-05
2015-09-04,1.1e-07,1.1e-07,1e-07,1.1e-07,15888421.547951,1.69711912,1e-07,2.2970799915625e-05
2015-09-05,1e-07,1.1e-07,1e-07,1.1e-07,47023908.263253,4.90880658,1e-07,2.33930367023e-05
2015-09-06,1.2e-07,1.2e-07,1e-07,1.1e-07,58944700.645218,6.1758475,1e-07,2.4055940353974998e-05
2015-09-07,1.8e-07,2.1e-07,1.1e-07,1.1e-07,337420980.36854,53.44977436,1.5e-07,3.6105922890337496e-05
