date,close,high,low,open,quoteVolume,volume,weightedAverage,price_usd
2015-01-02,1.764e-05,1.795e-05,1.7130000000000004e-05,1.73e-05,3886410.7324747,68.14500386,1.7530000000000003e-05,0.0055357136115712505
2015-01-03,1.645e-05,1.764e-05,1.626e-05,1.764e-05,9187187.7311771,155.92647739,1.6970000000000002e-05,0.0051166659908496465
2015-01-04,1.669e-05,1.7380000000000003e-05,1.5510000000000002e-05,1.631e-05,7835990.8854359,128.085828,1.634e-05,0.004521376911123526
2015-01-05,1.851e-05,2.197e-05,1.6150000000000003e-05,1.654e-05,7365508.3893993,132.29923212,1.796e-05,0.004869665320866787
2015-01-06,1.7140000000000002e-05,1.9200000000000003e-05,1.6970000000000002e-05,1.851e-05,4806229.4050701,86.38919395,1.7970000000000002e-05,0.004928388581995021
2015-01-07,1.7800000000000002e-05,1.83e-05,1.711e-05,1.7330000000000002e-05,2889558.6320186,50.85458349,1.759e-05,0.005163562916483739
2015-01-08,1.9580000000000002e-05,2.0490000000000002e-05,1.7450000000000004e-05,1.779e-05,9244970.9903035,177.19517351,1.916e-05,0.00556337430112998
2015-01-09,1.982e-05,2.086e-05,1.9e-05,1.948e-05,5053337.7212921,100.31276182,1.985e-05,0.005791652093994567
2015-01-10,1.9350000000000003e-05,2.048e-05,1.8210000000000004e-05,1.9750000000000002e-05,6573155.628855,126.93927956,1.9310000000000003e-05,0.005455141839093321
2015-01-11,1.88e-05,1.949e-05,1.828e-05,1.894e-05,1557398.8406122,29.26216411,1.8780000000000003e-05,0.005094233105283101
2015-01-12,1.8140000000000003e-05,1.887e-05,1.7760000000000003e-05,1.872e-05,3115289.7934181,57.07313409,1.832e-05,0.005038102887587094
2015-01-13,1.9200000000000003e-05,1.968e-05,1.7500000000000002e-05,1.8140000000000003e-05,8090623.4132013,147.31645091,1.8200000000000002e-05,0.0043099571130798
2015-01-14,2.5800000000000004e-05,2.6000000000000002e-05,1.7770000000000004e-05,1.8700000000000004e-05,14162943.248334,305.72913267,2.158e-05,0.004222522815144833
2015-01-15,2.3380000000000003e-05,2.6000000000000002e-05,2.207e-05,2.517e-05,11877581.705324,285.1575078,2.4e-05,0.005000371139952
2015-01-16,2.062e-05,2.4480000000000003e-05,2e-05,2.376e-05,7648548.2326615,169.57440788,2.2170000000000003e-05,0.0046641274529760106
2015-01-17,2.3860000000000002e-05,2.4200000000000002e-05,2.019e-05,2.061e-05,3191257.2041735,72.60390145,2.275e-05,0.004560096536503084
2015-01-18,2.307e-05,2.44e-05,2.201e-05,2.4030000000000002e-05,4922115.8460074,114.46222721,2.3250000000000003e-05,0.0048775447225865
2015-01-19,2.2890000000000003e-05,2.693e-05,2.2250000000000002e-05,2.307e-05,4771113.4517852,113.90324462,2.3870000000000004e-05,0.005049062984483468
2015-01-20,2.2160000000000005e-05,2.3950000000000003e-05,2.203e-05,2.279e-05,2695911.0604073,61.34905727,2.275e-05,0.004851800217438417
2015-01-21,2.2780000000000002e-05,2.3650000000000006e-05,2.2280000000000004e-05,2.2530000000000003e-05,4066341.5027866,93.77390468,2.3060000000000003e-05,0.0049962477537147006
2015-01-22,2.0700000000000002e-05,2.353e-05,2.0700000000000002e-05,2.2950000000000002e-05,4121497.2172069,89.81332506,2.179e-05,0.005111827934792626
2015-01-23,2.146e-05,2.183e-05,2.0310000000000004e-05,2.1090000000000003e-05,3046104.002842,63.5409827,2.0850000000000002e-05,0.004828596869059351
2015-01-24,2.034e-05,2.1700000000000002e-05,1.982e-05,2.112e-05,6992650.3772934,143.58437566,2.053e-05,0.0049560770710786505
2015-01-25,1.879e-05,2.0350000000000003e-05,1.8560000000000002e-05,2.033e-05,6265725.5836984,121.14827053,1.9330000000000003e-05,0.0048303333864989145
2015-01-26,1.638e-05,1.889e-05,1.4760000000000001e-05,1.889e-05,13537231.167628,225.35221114,1.6640000000000003e-05,0.0047017061247714145
2015-01-27,1.699e-05,1.775e-05,1.5960000000000003e-05,1.654e-05,3578731.3119854,60.5914676,1.6930000000000002e-05,0.004266366338332408
2015-01-28,1.715e-05,1.7440000000000002e-05,1.631e-05,1.699e-05,2643589.0332912,44.26407089,1.6740000000000002e-05,0.004328409550185721
2015-01-29,1.8180000000000002e-05,1.951e-05,1.6760000000000002e-05,1.715e-05,6843739.5958278,121.55688605,1.7760000000000003e-05,0.00414583024757664
2015-01-30,1.8120000000000003e-05,1.9e-05,1.792e-05,1.826e-05,1628083.2728297,29.96796179,1.84e-05,0.004249983271789067
2015-01-31,1.7820000000000002e-05,1.853e-05,1.773e-05,1.8120000000000003e-05,2470030.1527316,44.54177968,1.8030000000000002e-05,0.0041205560673714505
2015-02-01,1.747e-05,1.857e-05,1.6800000000000002e-05,1.788e-05,8481229.3067397,150.30781085,1.7720000000000003e-05,0.003912496426432147
2015-02-02,1.629e-05,1.754e-05,1.6100000000000002e-05,1.719e-05,3250606.2734525,53.91663221,1.658e-05,0.00378846264459558
2015-02-03,1.635e-05,1.7450000000000004e-05,1.517e-05,1.633e-05,4690633.8434246,75.74370581,1.614e-05,0.00382140374767832
2015-02-04,1.6570000000000002e-05,1.709e-05,1.5910000000000002e-05,1.6320000000000003e-05,4389548.3315322,71.76044541,1.634e-05,0.003696005497517405
2015-02-05,1.8160000000000002e-05,1.849e-05,1.6000000000000003e-05,1.645e-05,5817833.8916832,98.29749684,1.6890000000000003e-05,0.00370506143933437
2015-02-06,1.726e-05,1.9280000000000002e-05,1.704e-05,1.8130000000000004e-05,3553772.7420962,63.89936631,1.798e-05,0.003944184572497134
2015-02-07,1.6950000000000002e-05,1.728e-05,1.67e-05,1.707e-05,1766126.0187195,29.86842522,1.6910000000000002e-05,0.003792744144851164
2015-02-08,1.67e-05,1.699e-05,1.67e-05,1.673e-05,2364850.4902569,39.53368207,1.671e-05,0.0037317055430842495
2015-02-09,1.6510000000000003e-05,1.686e-05,1.65e-05,1.686e-05,2182766.6692821,36.2355138,1.6600000000000004e-05,0.003641098418789534
2015-02-10,1.639e-05,1.677e-05,1.63e-05,1.6510000000000003e-05,2878518.1137991,47.09794248,1.6360000000000003e-05,0.0035599931473123203
2015-02-11,1.6170000000000003e-05,1.6400000000000002e-05,1.5000000000000002e-05,1.639e-05,2706833.4732539,42.971443550000004,1.5870000000000002e-05,0.0034693831674587504
2015-02-12,1.5630000000000005e-05,1.6170000000000003e-05,1.521e-05,1.6170000000000003e-05,2402023.9454646,37.16888428,1.5470000000000003e-05,0.0034328485203242542
2015-02-13,1.5100000000000001e-05,1.598e-05,1.4940000000000001e-05,1.5720000000000002e-05,1819906.4259753,27.59566908,1.516e-05,0.0035392211152379064
2015-02-14,1.45e-05,1.5320000000000002e-05,1.45e-05,1.509e-05,3826506.7764101,56.69044524,1.481e-05,0.0036456127893269735
2015-02-15,1.38e-05,1.45e-05,1.302e-05,1.45e-05,4642532.8558935,63.56926086,1.3690000000000001e-05,0.0033378915434002436
2015-02-16,1.4140000000000002e-05,1.4530000000000001e-05,1.3660000000000001e-05,1.384e-05,3018468.0618553,42.30013656,1.4010000000000001e-05,0.0033225882948787005
2015-02-17,1.3710000000000001e-05,1.4150000000000002e-05,1.36e-05,1.4150000000000002e-05,1655576.2343983,22.77119631,1.375e-05,0.0032821637469270834
2015-02-18,1.3300000000000001e-05,1.3940000000000002e-05,1.3200000000000002e-05,1.3860000000000003e-05,1747340.2123536,23.48812719,1.3440000000000002e-05,0.003177164283274241
2015-02-19,1.327e-05,1.389e-05,1.3160000000000001e-05,1.3350000000000001e-05,1032589.934784,13.93697742,1.3490000000000001e-05,0.0032373237102173106
