date,close,high,low,open,quoteVolume,volume,weightedAverage,price_usd
2017-08-19,0.00011291,1000.0,8.917e-05,1000.0,53986765.605854,6736.38810901,0.00012477,0.5084764740133448
2017-08-20,0.00010261000000000001,0.0001165,9.495e-05,0.00011291,19215791.442178,2028.5046211,0.00010556,0.43210181783302165
2017-08-21,8.740000000000001e-05,0.00011003,7.822e-05,0.00010262,19933659.301029,1863.97299683,9.350000000000001e-05,0.37589009798418377
2017-08-22,9.001e-05,9.76e-05,8.125000000000001e-05,8.741e-05,10388357.012951,931.36415814,8.965000000000001e-05,0.34981879585897063
2017-08-23,9.349000000000001e-05,0.0001046,8.989000000000001e-05,9.003e-05,10898581.164662,1043.34246574,9.573e-05,0.3978073731296471
2017-08-24,9.099000000000001e-05,9.507000000000001e-05,8.745e-05,9.347e-05,5988398.8516042,550.41072099,9.191000000000002e-05,0.3875528066311562
2017-08-25,8.44e-05,9.111000000000001e-05,8e-05,9.1e-05,6735296.4996856,572.99911288,8.507e-05,0.37153273951297344
2017-08-26,8.114000000000001e-05,9.018000000000002e-05,7.38e-05,8.402e-05,12662810.80858,1027.58730101,8.115000000000001e-05,0.35009243228182646
2017-08-27,8.258e-05,8.45e-05,7.586000000000001e-05,8.114000000000001e-05,5294035.7608629,426.14641999,8.049e-05,0.3496618229431885
2017-08-28,7.97e-05,8.326000000000001e-05,7.555000000000001e-05,8.258e-05,8021469.9285986,626.26002141,7.807000000000002e-05,0.33586784060794933
2017-08-29,7.984000000000001e-05,8.710000000000002e-05,7.575000000000001e-05,7.959e-05,8093998.8454426,651.87370642,8.053000000000002e-05,0.3630030680924539
2017-08-30,7.369000000000001e-05,8.039000000000001e-05,7.25e-05,7.984000000000001e-05,7041468.0350712,533.92514476,7.582e-05,0.34665593927748317
2017-08-31,7.927e-05,8.060000000000001e-05,7.005000000000001e-05,7.369000000000001e-05,10331158.217056,770.1606944,7.454e-05,0.34914248938801024
2017-09-01,7.902000000000001e-05,8.650000000000002e-05,7.487e-05,7.935000000000002e-05,11785533.607284,934.35867689,7.928e-05,0.38182773908581685
2017-09-02,6.682000000000001e-05,8.180000000000001e-05,6.570000000000001e-05,7.905000000000001e-05,9174279.4971372,667.95203496,7.280000000000001e-05,0.34238851486439603
2017-09-03,6.318e-05,7.052e-05,6.3e-05,6.635e-05,5775087.1498874,380.26548852,6.584e-05,0.3026755754821079
2017-09-04,5.6e-05,6.400000000000001e-05,4.85e-05,6.317e-05,23300701.688409,1301.3084916,5.584e-05,0.2448055035370564
2017-09-05,5.451e-05,5.8e-05,4.9930000000000005e-05,5.606e-05,9878195.9400319,528.92202088,5.3540000000000006e-05,0.23097265625023902
2017-09-06,5.6070000000000004e-05,5.895e-05,5.215e-05,5.4900000000000006e-05,7456569.4664526,413.60641323,5.546000000000001e-05,0.2534115946364204
2017-09-07,6.819000000000001e-05,7.31e-05,5.507e-05,5.608e-05,16348693.788202,1069.41019825,6.541000000000001e-05,0.3010025895336729
2017-09-08,6.09e-05,6.88e-05,5.7050000000000004e-05,6.8e-05,11477560.440651,711.98393892,6.203000000000001e-05,0.27240059924433446
2017-09-09,6.000000000000001e-05,6.089000000000001e-05,5.573000000000001e-05,6.081000000000001e-05,3525586.7310121,205.60224333,5.831000000000001e-05,0.2510064537108914
2017-09-10,5.869e-05,6.030000000000001e-05,5.6e-05,5.999e-05,3811764.1450022,220.3651484,5.7810000000000004e-05,0.24283208151327784
2017-09-11,6.55e-05,6.6e-05,5.6160000000000004e-05,5.8750000000000005e-05,8516844.7940543,526.92169554,6.186000000000001e-05,0.26135879118167
2017-09-12,6.207000000000001e-05,6.900000000000001e-05,6.06e-05,6.551e-05,7288889.7078672,474.07715903,6.504e-05,0.27520463016634017
2017-09-13,5.763e-05,6.478e-05,5.503000000000001e-05,6.185e-05,6834794.652506,399.25092115,5.8410000000000005e-05,0.22849441943246326
2017-09-14,5.414e-05,6.072000000000001e-05,5.414e-05,5.763e-05,6924439.3759097,393.93510016,5.6890000000000006e-05,0.20068552865693542
2017-09-15,5.7100000000000006e-05,5.8960000000000005e-05,5.211000000000001e-05,5.414e-05,7625504.2909425,421.59041746,5.5280000000000006e-05,0.19004843317044084
2017-09-16,5.7980000000000004e-05,5.852000000000001e-05,5.508e-05,5.708000000000001e-05,1802752.3548074,101.86994915,5.650000000000001e-05,0.21134696073339626
2017-09-17,5.691e-05,6.000000000000001e-05,5.4340000000000005e-05,5.7610000000000006e-05,1674021.1045315,94.85762462,5.666000000000001e-05,0.2069473341481545
2017-09-18,5.657e-05,6.067000000000001e-05,5.613e-05,5.736e-05,2974818.6119258,173.35571814,5.827e-05,0.23157045261555345
2017-09-19,5.223e-05,5.847e-05,5.2000000000000004e-05,5.6880000000000004e-05,3950325.4264897,217.90595538,5.516000000000001e-05,0.21865557576903952
2017-09-20,5.165e-05,5.331000000000001e-05,5.1550000000000006e-05,5.222000000000001e-05,2989783.2785803,155.55950623,5.203000000000001e-05,0.20515712742327116
2017-09-21,4.8650000000000003e-05,5.259000000000001e-05,4.7010000000000006e-05,5.166000000000001e-05,3358902.1445784,166.39850954,4.953000000000001e-05,0.18509083116850855
2017-09-22,5e-05,5.3190000000000004e-05,4.588e-05,4.835e-05,3580686.6179218,174.7497833,4.88e-05,0.176560830245246
2017-09-23,4.957e-05,5.1120000000000005e-05,4.835e-05,5.004e-05,1379838.9957413,68.27755348,4.948000000000001e-05,0.1842954319377286
2017-09-24,4.686e-05,4.999e-05,4.674000000000001e-05,4.957e-05,1534468.4129609,73.3217945,4.778000000000001e-05,0.17656501504243574
2017-09-25,4.980000000000001e-05,5.2060000000000006e-05,4.5560000000000004e-05,4.717e-05,2993491.356985,143.50715833,4.7930000000000004e-05,0.18455978915474808
2017-09-26,5.067000000000001e-05,5.161e-05,4.8e-05,4.980000000000001e-05,2804287.97574,139.71855837,4.982000000000001e-05,0.1950351224618897
2017-09-27,5.4810000000000005e-05,5.5950000000000005e-05,4.9550000000000005e-05,5.079e-05,4796883.4316013,256.08327237,5.338000000000001e-05,0.21741294389798127
2017-09-28,5.2000000000000004e-05,5.6030000000000004e-05,5.115e-05,5.4840000000000003e-05,3111803.8667965,166.9246768,5.364e-05,0.2245977678033351
2017-09-29,5.0450000000000007e-05,5.201e-05,4.8620000000000005e-05,5.2000000000000004e-05,1917879.788603,96.81270478,5.047e-05,0.2082316439513282
2017-09-30,5.028e-05,5.2980000000000004e-05,4.923e-05,5.0450000000000007e-05,1442372.3870046,73.43966573,5.0910000000000006e-05,0.217745856757074
